Position,Office,Job Title,Supervisor,First Name,Last Name,AD Name,Email Address,Location,Phone,Vacant
ABC-XYZ,Some Officer,Yum Pum,,CATHERINE,SZPINDOR,CSzpindor,Catherine.Szpindor@mailnator.ccom,632 XYZU,(202) 123-4567,0
ABC-XYZ,Some Office,"CUSTOMER RELATIONS",ABC-XYZ,LISA,SHERMAN,lsherman,Lisa.Sherman@mailnator.ccom,B-241 Longworth.,(202) 123-4567,0
ABC-XYZ,Some Office,Chief of the Club,ABC-XYZ,CHRISTOPHER,BOLDIG,CBoldig,Christopher.Boldig@mailnator.ccom,XYZU 217,(202) 123-4567,0
ABC-XYZ,Some Office,XYZ,ABC-XYZ,JENNIFER,OLKIEWICZ,JOlkiewicz,Jennifer.Olkiewicz@mailnator.ccom,441 D St SW,(202) 123-4567,0
ABC-XYZ,Some Office,IJK,ABC-XYZ,ANNE,BINSTED,ABinsted,Anne.Binsted@mailnator.ccom,East Capitol St NE & First St SE,(202) 123-4567,0
ABC-XYZ,Some Office,IJK,ABC-XYZ,JOHN,CLOCKER,JClocker,John.Clocker@mailnator.ccom,East Capitol St NE & First St SE,(202) 123-4567,0
ABC-XYZ,Some Office,ABC Officer,ABC-XYZ,JOHN,SALAMONE,JSALAMONE,John.Salamone@mailnator.ccom,H2-105B XYZU,(202) 123-4567,0
ABC-XYZ,Some Office,GHQ,ABC-XYZ,JENELLE,JENKINS,JJENKINS1,Jenelle.Jenkins@mailnator.ccom,XYZU 217,(202) 123-4567,0
ABC-XYZ,Some Office,QWER,ABC-XYZ,RICHARD,CAPPETTO,RCappetto,Richard.Cappetto@mailnator.ccom,441 D St SW,(202) 123-4567,0
ABC-XYZ,Some Office,ZXCVB OFFICER,ABC-XYZ,DOUG,MASSENGALE,dmassengale,Douglas.Massengale@mailnator.ccom,B-310 RHOB,(202) 123-4567,0
